seed_idx,generation,bsf
2,16,0.0004336833953857422
2,17,0.0004336833953857422
2,18,0.0004336833953857422
2,19,0.0004336833953857422
2,20,0.0004336833953857422
2,21,0.0004336833953857422
2,22,0.0004336833953857422
2,23,0.0004336833953857422
2,24,0.0004336833953857422
2,25,0.0004336833953857422
2,26,0.0004336833953857422
2,27,0.0004336833953857422
2,28,0.0004336833953857422
2,29,0.0004336833953857422
2,30,0.0004336833953857422
2,31,0.0004336833953857422
2,32,0.0004336833953857422
2,33,0.0004336833953857422
2,34,0.0004336833953857422
2,35,0.0004336833953857422
2,36,0.0004336833953857422
2,37,0.0004336833953857422
2,38,0.0004336833953857422
2,39,0.0004336833953857422
2,40,0.0004336833953857422
2,41,0.0004336833953857422
2,42,0.0004336833953857422
2,43,0.0004336833953857422
2,44,0.0004336833953857422
2,45,0.0004336833953857422
2,46,5.245208740234375e-05
2,47,5.245208740234375e-05
2,48,5.245208740234375e-05
2,49,5.245208740234375e-05
302,0,1.5859267711639404
302,1,0.8997982144355774
302,2,0.8997982144355774
302,3,0.8997982144355774
302,4,0.8997982144355774
302,5,0.8997982144355774
302,6,0.8997982144355774
302,7,0.883812427520752
302,8,0.8615586757659912
302,9,0.8615586757659912
302,10,0.8615586757659912
302,11,0.8615586757659912
302,12,0.8615586757659912
302,13,0.8615586757659912
302,14,0.8615586757659912
302,15,0.7932039499282837
302,16,0.7932039499282837
