cell_id,anchor,target,la,lt,anchor_word,target_word,common_ancestor_level,stratum,n,probe,min_gen0,min_tgtbal_10,min_tgtbal_20,min_tgtbal_50,dex_eroded_10,dex_eroded_20,dex_eroded_50,dex_eroded_min_50,crossed_50_frac,crossed_50_any,gen_first_cross_mean,n_cross_rows,stuck_frac,stuck_any,pop0_p_class_a_median,runtime_seconds
"cello->junco(0,2)",cello,junco,0,2,cello,bird,,wall_repl,1,5.351153373718262,3.6866354942321777,2.3963141441345215,2.307035207748413,1.7384778261184692,0.34890364765324255,0.36539317646111197,0.48827824308750417,0.3264610443479791,0.0,False,,0.0,1.0,True,0.9952773451805115,3166.245041370392
"cello->marimba(0,0)",cello,marimba,0,0,cello,marimba,2.0,within_bucket,2,0.2852625250816345,0.014825105667114258,0.0013954639434814453,0.0008151531219482422,0.00024235248565673828,2.303392753530714,2.6802526344895887,3.093354548532755,1.545965696053231,1.0,True,0.0,731.0,0.0,False,0.4644554406404495,3183.698443889618
"cello->marimba(0,1)",cello,marimba,0,1,cello,percussion instrument,2.0,within_bucket,1,0.2686898708343506,0.05729937553405762,0.0026137828826904297,8.273124694824219e-05,5.7220458984375e-05,2.0119817850540214,3.511581724371708,3.6716999574509757,3.0005985518164118,1.0,True,0.0,732.0,0.0,False,0.45663411915302277,3194.1079659461975
"cello->marimba(1,1)",cello,marimba,1,1,string instrument,percussion instrument,2.0,within_bucket,1,0.3612176179885864,0.09931635856628418,0.0007929801940917969,0.0007929801940917969,0.0007929801940917969,2.658506584113694,2.658506584113694,2.658506584113694,2.097758447493839,1.0,True,0.0,404.0,0.0,False,0.5806735754013062,3192.182009458542
"cello->ostrich(0,0)",cello,ostrich,0,0,cello,ratite,,cross_breadth,1,0.6354987621307373,0.08178997039794922,0.0003426074981689453,0.0003426074981689453,0.0003426074981689453,3.2683178454148214,3.2683178454148214,3.2683178454148214,2.3779031874810737,1.0,True,1.0,80.0,0.0,False,0.6537050604820251,3160.5910844802856
"cello->ostrich(2,2)",cello,ostrich,2,2,musical instrument,bird,,cross_breadth,1,16.0051531791687,11.434743881225586,7.77838134765625,7.167071342468262,6.011334419250488,0.3133706036466991,0.3489181074199901,0.4252889458931255,0.2792555525230301,0.0,False,,0.0,1.0,True,0.9999998807907104,3163.108894109726
"green iguana->boa constrictor(0,0)",green iguana,boa constrictor,0,0,iguana,constrictor,2.0,within_bucket,1,0.649921178817749,0.11415266990661621,0.0017108917236328125,0.0017108917236328125,0.0017108917236328125,2.5796381640141046,2.5796381640141046,2.5796381640141046,1.8242635481915015,1.0,True,2.0,94.0,0.0,False,0.6569926738739014,3182.134073972702
"green iguana->boa constrictor(0,1)",green iguana,boa constrictor,0,1,iguana,snake,2.0,within_bucket,1,6.946902275085449,4.908804893493652,3.4625301361083984,3.1010701656341553,2.2525534629821777,0.3023976275511504,0.3502795967089238,0.4891160820312937,0.33830066338494696,0.0,False,,0.0,1.0,True,0.9990361034870148,3210.069633245468
"green iguana->boa constrictor(1,1)",green iguana,boa constrictor,1,1,lizard,snake,2.0,within_bucket,2,6.666776180267334,4.633470296859741,3.5612257719039917,2.7995643615722656,2.56497859954834,0.2714275617766062,0.37629008787171736,0.41800089359193926,0.25826050449747184,0.0,False,,0.0,1.0,True,0.9986064434051514,3156.8214750289917
"green iguana->cello(0,0)",green iguana,cello,0,0,iguana,cello,,cross_breadth,2,3.4309847950935364,2.4667948484420776,1.7825676798820496,1.561228334903717,1.3139309287071228,0.28438132827196017,0.3486419967298945,0.4474747018235264,0.30360135195133847,0.0,False,,0.0,1.0,True,0.968379333615303,3153.515223264694
"green iguana->cello(1,1)",green iguana,cello,1,1,lizard,string instrument,,cross_breadth,1,1.8964745998382568,1.2479819059371948,0.7309460639953613,0.6501975059509277,0.3563251495361328,0.41406169856601477,0.46490173113445116,0.7261005543487894,0.5443618126370565,0.0,False,,0.0,1.0,True,0.8694915175437927,3115.3728082180023
