sut,cell,arm,rep,gen,cum_own_hv
qwen,474,raw,1,31,0.9997529586495257
qwen,474,raw,1,32,0.9997529586495257
qwen,474,raw,1,33,0.9997529586495257
qwen,474,raw,1,34,0.9997529586495257
qwen,474,raw,1,35,0.9997529586495257
qwen,474,raw,1,36,0.9997529586495257
qwen,474,raw,1,37,0.9997529586495257
qwen,474,raw,1,38,0.9997529586495257
qwen,474,raw,1,39,0.9997529586495257
qwen,474,raw,1,40,0.9997529586495257
qwen,474,raw,1,41,0.9997529586495257
qwen,474,raw,1,42,0.9999510662818796
qwen,474,raw,1,43,0.9999510662818796
qwen,474,raw,1,44,0.9999510662818796
qwen,474,raw,1,45,0.9999510662818796
qwen,474,raw,1,46,0.9999510662818796
qwen,474,raw,1,47,0.9999510662818796
qwen,474,raw,1,48,0.9999510662818796
qwen,474,raw,1,49,0.9999510662818796
qwen,2,raw,2,0,0.4463238939419165
qwen,2,raw,2,1,0.5099038559798006
qwen,2,raw,2,2,0.5033178248473473
qwen,2,raw,2,3,0.5288177258349038
qwen,2,raw,2,4,0.5582525355590358
qwen,2,raw,2,5,0.5957929309871461
qwen,2,raw,2,6,0.5984742507204279
qwen,2,raw,2,7,0.6051574132374458
qwen,2,raw,2,8,0.6029931261195793
qwen,2,raw,2,9,0.6136869235529199
qwen,2,raw,2,10,0.6141671195134029
qwen,2,raw,2,11,0.6227036090315999
qwen,2,raw,2,12,0.6227036090315999
qwen,2,raw,2,13,0.6350614545313087
qwen,2,raw,2,14,0.6446195771475811
qwen,2,raw,2,15,0.6420258262583443
qwen,2,raw,2,16,0.6421420505723437
qwen,2,raw,2,17,0.6701427112381022
qwen,2,raw,2,18,0.6718795738510184
qwen,2,raw,2,19,0.6760161752188886
qwen,2,raw,2,20,0.6772355018882781
qwen,2,raw,2,21,0.6772355018882781
qwen,2,raw,2,22,0.6762358109961759
qwen,2,raw,2,23,0.6762320416736174
qwen,2,raw,2,24,0.7314888852405118
qwen,2,raw,2,25,0.7319346365627942
qwen,2,raw,2,26,0.8395908380055929
