sut,cell,arm,rep,d0,hv_raw,hv_pmi,hv_own,hv_cross,final_own_hv,gen0_own_hv,gen_to_90,frac_final_at_gen0,n_pareto_final,n_active_min,n_active_max,n_active_span,pareto_min_matdist,pareto_min_textdist,image_dim
llava,2,pmi,2,-1.1898174285888672,0.9996985834282083,0.9997912704407632,0.9997912704407632,0.9996985834282083,0.9997912704407632,0.9243718783060709,0,0.9245648623222693,58,0,121,121,2.782623232633341e-05,0.11059188842773438,222
llava,26,pmi,2,-1.0256848335266113,0.9993810040635747,0.9825461695681106,0.9825461695681106,0.9993810040635747,0.9825461695681106,0.72371363881472,10,0.7365695997093313,63,0,121,121,2.782623232633341e-05,0.2672378420829773,222
llava,28,pmi,2,4.609247207641602,0.575459528255749,0.9998238398148134,0.9998238398148134,0.575459528255749,0.9998238398148134,0.9584435138616476,0,0.9586123831965937,61,0,121,121,2.782623232633341e-05,0.41265296936035156,222
llava,96,pmi,2,1.716181755065918,0.8140820788614679,0.9999744381672152,0.9999744381672152,0.8140820788614679,0.9999744381672152,0.9817349910736084,0,0.9817600866607784,156,0,144,144,3.48673747794237e-05,0.4147292375564575,253
llava,196,pmi,2,-0.06451988220214844,0.9993401997619205,0.9986996838638376,0.9986996838638376,0.9993401997619205,0.9986996838638376,0.9730226673163451,0,0.9742895517417695,90,0,122,122,4.5514661906054243e-05,0.33248770236968994,222
llava,278,pmi,2,2.143124580383301,0.7109848490795541,0.9982762354950717,0.9982762354950717,0.7109848490795541,0.9982762354950717,0.9224032347552813,0,0.9239959862390564,97,0,118,118,2.994129499711562e-05,0.20478856563568115,229
llava,454,pmi,2,0.11950206756591797,0.9967203886842565,0.9969537261538673,0.9969537261538673,0.9967203886842565,0.9969537261538673,0.946663251305603,0,0.949555858482741,117,0,149,149,2.2720023480360396e-05,0.4411959648132324,293
llava,474,pmi,2,1.024472713470459,0.876100327238966,0.9998818267734384,0.9998818267734384,0.876100327238966,0.9998818267734384,0.9759289119837634,0,0.9760442542825589,54,0,149,149,2.2720023480360396e-05,0.4125251770019531,293
llava,2,pmi,3,-1.1898174285888672,0.9998202441153942,0.9977602035075694,0.9977602035075694,0.9998202441153942,0.9977602035075694,0.9544070094555348,0,0.9565494856383038,55,0,130,130,2.782623232633341e-05,0.4301029443740845,222
llava,26,pmi,3,-1.0256848335266113,0.9989705029371623,0.9027828805976443,0.9027828805976443,0.9989705029371623,0.9027828805976443,0.7677276099587346,1,0.8504011611856188,69,0,117,117,2.782623232633341e-05,0.345231294631958,222
llava,28,pmi,3,4.609247207641602,0.5958429884624196,0.99947265372262,0.99947265372262,0.5958429884624196,0.99947265372262,0.9654767513275146,0,0.9659861605332725,52,0,117,117,2.782623232633341e-05,0.341808021068573,222
llava,96,pmi,3,1.716181755065918,0.8335115414834305,0.9990698012752809,0.9990698012752809,0.8335115414834305,0.9990698012752809,0.9727984093551736,0,0.9737041477116286,89,0,147,147,3.48673747794237e-05,0.3629639148712158,253
llava,196,pmi,3,-0.06451988220214844,0.999735963595164,0.9998177250584325,0.9998177250584325,0.999735963595164,0.9998177250584325,0.9589297637209162,0,0.9591045844530045,69,0,118,118,4.5514661906054243e-05,0.3129323720932007,222
llava,278,pmi,3,2.143124580383301,0.6753518884185447,0.9974996162987866,0.9974996162987866,0.6753518884185447,0.9974996162987866,0.8288355271021525,2,0.8309131287463942,85,0,130,130,2.994129499711562e-05,0.4319964647293091,229
llava,454,pmi,3,0.11950206756591797,0.998886255070618,0.9993130366685582,0.9993130366685582,0.998886255070618,0.9993130366685582,0.9243254772767815,0,0.9249608914922544,95,0,175,175,2.2720023480360396e-05,0.4212492108345032,293
llava,474,pmi,3,1.024472713470459,0.8834044361684102,0.9999526408887696,0.9999526408887696,0.8834044361684102,0.9999526408887696,0.9679559066433956,0,0.9680017503459615,83,0,175,175,2.2720023480360396e-05,0.41872119903564453,293
