seed,anchor,target,a_word,t_word,d0_gray,d0_black,d0_white,d0_noise,d0_null_mean,d0_null_std,d0_null_range,d0_null_cv,raw_floor,pmi_floor,gap_med,explained_frac
278,boa constrictor,green iguana,constrictor,lizard,-0.0797491073608398,0.0505447387695312,-0.0689039230346679,-0.5388579368591309,-0.15924155712127686,0.2598710086498953,0.5894026756286621,1.6319295876514195,0.0003638267517089,0.0001039505004882,0.684194803237915,0.7142857142857143
56,junco,cello,bird,cello,1.0036208033561709,0.9960624873638152,0.9205127358436584,0.5395004749298096,0.8649241253733635,0.2201701496199639,0.4641203284263613,0.2545542934473271,1.6220487281680107,0.6184279248118401,2.9141334570012987,0.6187365311088338
243,boa constrictor,junco,constrictor,songbird,-2.5481154918670654,-2.5172739028930664,-2.583343029022217,-2.9833714962005615,-2.6580259799957275,0.21857013419807683,0.4660975933074951,0.08223024750060123,0.0005121231079101,0.2743525505065918,-0.8576604127883911,-534.7160148975792
242,boa constrictor,junco,constrictor,songbird,-2.5481154918670654,-2.5172739028930664,-2.583343029022217,-2.9833714962005615,-2.6580259799957275,0.21857013419807683,0.4660975933074951,0.08223024750060123,3.814697265625e-05,0.7893474102020264,-0.6352698802947998,-20691.26875
50,junco,cello,songbird,cello,1.0559399724006653,0.9919421672821044,0.824426606297493,0.5707522183656693,0.860765241086483,0.21658609638023518,0.48518775403499603,0.25162040245358175,0.0042586326599121,0.0007505267858505,1.8159262966364624,0.8237634363453141
205,green iguana,cello,iguana,cello,-0.9740155339241028,-0.9413589835166932,-1.098771959543228,-0.5966766476631165,-0.9027057811617851,0.21499994398942066,0.5020953118801115,0.2381727784137098,0.0028496980667114,0.7600720524787903,3.0165080251172185,-265.72020497803805
204,green iguana,cello,iguana,cello,-0.9740155339241028,-0.9413589835166932,-1.098771959543228,-0.5966766476631165,-0.9027057811617851,0.21499994398942066,0.5020953118801115,0.2381727784137098,0.002006709575653,0.8958012461662292,2.8221344500780106,-445.4030356135088
26,junco,boa constrictor,sparrow,constrictor,3.537253975868225,3.3402878046035767,3.623223662376404,3.840469241142273,3.5853086709976196,0.20727513262992928,0.5001814365386963,0.05781235359360413,3.4078325033187866,0.0141417980194091,5.021895043551922,0.995850207424914
244,boa constrictor,junco,constrictor,bird,-4.6907088458538055,-4.776768386363983,-4.967889785766602,-5.154085725545883,-4.897363185882568,0.20666364426771344,0.46337687969207764,0.042198962262683395,0.0019178390502929,0.3016286194324493,-2.4909969568252563,-156.27525174042765
82,ostrich,junco,ratite,songbird,-0.1793395280838012,-0.1606568694114685,-0.1326329112052917,-0.552370011806488,-0.25624983012676233,0.19834440866022787,0.41973710060119634,0.7740274737435351,0.0596729815006256,0.2390125095844268,1.20592138543725,-3.0053723406114887
