sut,seed,arm,rep,a_word,t_word,anchor,target,d0,d0_armgray,d0_run,floor_own,floor_raw,floor_pmi,reached_own,reached_evid,crossed_raw,crossed_pmi,gen_reach_own,gen_reach_own_trace,gen_reach_evid,gen_cross_behav,final_pareto_min
llava,28,pmi,2,sparrow,snake,junco,boa constrictor,4.609247207641602,4.609247207641602,4.609247207641602,0.0008957386016845703,2.541901111602783,0.0008957386016845703,True,True,False,True,0.0,0.0,0.0,,0.0008957386016845703
llava,96,pmi,2,flightless bird,lizard,ostrich,green iguana,1.716181755065918,1.716181755065918,1.716181755065918,0.00015282630920410156,1.1145381927490234,0.00015282630920410156,True,True,False,True,0.0,0.0,0.0,,0.00015282630920410156
llava,196,pmi,2,iguana,constrictor,green iguana,boa constrictor,-0.0645198822021484,-0.0645198822021484,-0.06451988220214844,0.0030508041381835938,5.412101745605469e-05,0.0030508041381835938,True,True,True,True,0.0,0.0,0.0,3.0,0.0030508041381835938
llava,278,pmi,2,constrictor,lizard,boa constrictor,green iguana,2.143124580383301,2.143124580383301,2.143124580383301,4.565715789794922e-05,1.7085790634155273,4.565715789794922e-05,True,True,False,True,7.0,7.0,7.0,,4.565715789794922e-05
llava,454,pmi,2,marimba,constrictor,marimba,boa constrictor,0.1195020675659179,0.1195020675659179,0.11950206756591797,0.00038743019104003906,0.0014567375183105469,0.00038743019104003906,True,True,True,True,1.0,1.0,1.0,4.0,0.00038743019104003906
llava,474,pmi,2,marimba,string instrument,marimba,cello,1.024472713470459,1.024472713470459,1.024472713470459,0.0007002353668212891,0.7424218654632568,0.0007002353668212891,True,True,False,True,0.0,0.0,0.0,,0.0007002353668212891
llava,2,pmi,3,sparrow,flightless bird,junco,ostrich,-1.1898174285888672,-1.1898174285888672,-1.1898174285888672,0.002315521240234375,0.00023686885833740234,0.002315521240234375,True,True,True,True,0.0,0.0,0.0,0.0,0.002315521240234375
llava,26,pmi,3,sparrow,constrictor,junco,boa constrictor,-1.025684833526611,-1.025684833526611,-1.0256848335266113,0.5394268035888672,0.002579808235168457,0.5394268035888672,False,False,True,False,,,,24.0,0.5394268035888672
llava,28,pmi,3,sparrow,snake,junco,boa constrictor,4.609247207641602,4.609247207641602,4.609247207641602,0.0031027793884277344,2.414745330810547,0.0031027793884277344,True,True,False,True,0.0,0.0,0.0,,0.0031027793884277344
llava,96,pmi,3,flightless bird,lizard,ostrich,green iguana,1.716181755065918,1.716181755065918,1.716181755065918,0.0007635354995727539,0.9865418672561646,0.0007635354995727539,True,True,False,True,0.0,0.0,0.0,,0.0007635354995727539
llava,196,pmi,3,iguana,constrictor,green iguana,boa constrictor,-0.0645198822021484,-0.0645198822021484,-0.06451988220214844,0.000989675521850586,0.001190185546875,0.000989675521850586,True,True,True,True,0.0,0.0,0.0,2.0,0.000989675521850586
llava,278,pmi,3,constrictor,lizard,boa constrictor,green iguana,2.143124580383301,2.143124580383301,2.143124580383301,0.0007798671722412109,1.8967390060424805,0.0007798671722412109,True,True,False,True,7.0,7.0,7.0,,0.0007798671722412109
llava,454,pmi,3,marimba,constrictor,marimba,boa constrictor,0.1195020675659179,0.1195020675659179,0.11950206756591797,0.0008046627044677734,0.0019555091857910156,0.0008046627044677734,True,True,True,True,1.0,1.0,1.0,2.0,0.0008046627044677734
llava,474,pmi,3,marimba,string instrument,marimba,cello,1.024472713470459,1.024472713470459,1.024472713470459,7.49826431274414e-05,0.6904335021972656,7.49826431274414e-05,True,True,False,True,0.0,0.0,0.0,,7.49826431274414e-05
