seed,anchor,target,a_word,t_word,arm,d0,image_dim,floor_own,floor_raw,floor_pmi,reached_evidence,crossed_raw,crossed_pmi,hv_raw,hv_pmi,n_active_min,n_active_max,matdist_min,textdist_min,rep
278,boa constrictor,green iguana,constrictor,lizard,pmi,-0.0527796745300293,229,4.76837158203125e-07,0.0037279129028320312,4.76837158203125e-07,True,True,True,0.99649341970552,0.9965265963275359,0,118,2.416285133222118e-05,0.0320165753364563,2
28,junco,boa constrictor,sparrow,snake,pmi,-1.8430805206298828,222,0.00022405385971069336,2.8252601623535156e-05,0.00022405385971069336,True,True,True,0.9999623044027579,0.9973797617485752,0,121,1.3950421816844027e-05,0.03882235288619995,2
2,junco,ostrich,sparrow,flightless bird,pmi,1.9718880653381348,222,0.007408857345581055,1.3825962543487549,0.007408857345581055,True,False,True,0.7416550480388664,0.9826499389277564,0,121,1.3950421816844027e-05,0.05274057388305664,2
454,marimba,boa constrictor,marimba,constrictor,pmi,4.453447341918945,293,0.0004571974277496338,3.0061326026916504,0.0004571974277496338,True,False,True,0.48748354789238335,0.9986425004772359,0,149,1.3950421816844027e-05,0.051928579807281494,2
474,marimba,cello,marimba,string instrument,pmi,0.057259589433670044,293,0.0010051131248474121,0.0012449324131011963,0.0010051131248474121,True,True,True,0.999067744839856,0.9993554278445326,0,149,1.3950421816844027e-05,0.016492843627929688,2
96,ostrich,green iguana,flightless bird,lizard,pmi,-4.1983330845832825,253,0.12643441557884216,0.1939876675605774,0.12643441557884216,True,True,False,0.966687909188792,0.9769468333999158,0,143,2.490969745849725e-05,0.012470841407775879,2
196,green iguana,boa constrictor,iguana,constrictor,pmi,2.775361180305481,222,1.5452308654785156,4.320592045783997,1.5452308654785156,False,False,False,0.27825210733456657,0.7408123040521466,0,118,4.031010394101031e-05,0.04909795522689819,3
26,junco,boa constrictor,sparrow,constrictor,pmi,3.4538527727127075,222,0.0007834434509277344,3.0995869636535645,0.0007834434509277344,True,False,True,0.4595438748061119,0.9845987642044061,0,118,1.3950421816844027e-05,0.06702107191085815,3
278,boa constrictor,green iguana,constrictor,lizard,pmi,-0.0527796745300293,229,0.1725773811340332,0.1197977066040039,0.1725773811340332,True,False,False,0.9777042189019217,0.96890760648025,0,122,2.416285133222118e-05,0.09395802021026611,3
28,junco,boa constrictor,sparrow,snake,pmi,-1.8430805206298828,222,0.0024421364068984985,0.00037604570388793945,0.0024421364068984985,True,True,True,0.999890871010385,0.9953598586490024,0,118,1.3950421816844027e-05,0.04201531410217285,3
2,junco,ostrich,sparrow,flightless bird,pmi,1.9718880653381348,222,0.02521681785583496,1.9466712474822998,0.02521681785583496,True,False,True,0.6418679986630116,0.9638899688248161,0,118,1.3950421816844027e-05,0.03744494915008545,3
