sut,seed,arm,a_word,t_word,d0,floor_own_mean,floor_own_min,floor_own_max,floor_raw_mean,floor_pmi_mean,floor_pmi_min,floor_pmi_max,reached_own_k,reached_evid_k,crossed_raw_k,gen_reach_own_mean,gen_reach_own_min,gen_reach_own_max,gen_reach_own_n,gen_reach_evid_mean,gen_reach_evid_min,gen_reach_evid_max,gen_reach_evid_n,gen_cross_behav_mean,gen_cross_behav_min,gen_cross_behav_max,gen_cross_behav_n
llava,278,pmi,constrictor,lizard,2.143124580383301,0.0026900370915730796,4.565715789794922e-05,0.007244586944580078,1.8062499364217122,0.0026900370915730796,4.565715789794922e-05,0.007244586944580078,3,3,0,6.666666666666667,6.0,7.0,3,6.666666666666667,6.0,7.0,3,,,,0
llava,278,raw,constrictor,lizard,2.143124580383301,1.434173583984375,0.6631225347518921,1.96894371509552,1.4341735740502675,0.0039187222719192505,0.0008846521377563477,0.006316781044006348,0,3,0,,,,0,11.333333333333334,8.0,16.0,3,,,,0
llava,454,pmi,marimba,constrictor,0.1195020675659179,0.0005412101745605469,0.00038743019104003906,0.0008046627044677734,0.007569948832194011,0.0005412101745605469,0.00038743019104003906,0.0008046627044677734,3,3,3,1.0,1.0,1.0,3,1.0,1.0,1.0,3,2.6666666666666665,2.0,4.0,3
llava,454,raw,marimba,constrictor,0.1195020675659179,0.004271785418192546,0.0009274482727050781,0.005991935729980469,0.004271785418192546,0.00019109249114992546,3.051757812506939e-05,0.0004305839538573525,3,3,3,1.0,0.0,2.0,3,0.3333333333333333,0.0,1.0,3,5.666666666666667,2.0,11.0,3
llava,474,pmi,marimba,string instrument,1.024472713470459,0.0009425083796183268,7.49826431274414e-05,0.00205230712890625,0.7142799297968546,0.0009425083796183268,7.49826431274414e-05,0.00205230712890625,3,3,0,0.0,0.0,0.0,3,0.0,0.0,0.0,3,,,,0
llava,474,raw,marimba,string instrument,1.024472713470459,0.5479147434234619,0.33393633365631104,0.7811912298202515,0.5479147434234619,0.001504341761271159,0.0005120038986206055,0.002286195755004883,0,3,0,,,,0,0.0,0.0,0.0,3,,,,0
qwen,2,pmi,sparrow,flightless bird,1.9718880653381348,0.01089326540629069,5.412101745605469e-05,0.02521681785583496,1.6916910807291667,0.01089326540629069,5.412101745605469e-05,0.02521681785583496,3,3,0,21.333333333333332,6.0,40.0,3,21.333333333333332,6.0,40.0,3,,,,0
qwen,2,raw,sparrow,flightless bird,1.9718880653381348,1.514542818069458,0.5106923580169678,2.0287575721740723,1.514542857805888,0.01915299892425537,0.0028238296508789062,0.03960704803466797,0,3,0,,,,0,14.0,5.0,26.0,3,,,,0
qwen,26,pmi,sparrow,constrictor,3.4538527727127075,0.05306414763132731,0.0007834434509277344,0.14547276496887207,3.125980257987976,0.05306414763132731,0.0007834434509277344,0.14547276496887207,3,3,0,18.0,13.0,27.0,3,18.0,13.0,27.0,3,,,,0
qwen,26,raw,sparrow,constrictor,3.4538527727127075,2.5772793292999268,1.864821434020996,3.021516799926758,2.5772793690363565,0.005806684494018555,0.0033904314041137695,0.01020514965057373,0,3,0,,,,0,12.0,1.0,19.0,3,,,,0
